广东省乡镇机关2025年考试录用公务员职位表,,,,,,,,,,,,,,
"配套
措施","1.广州、深圳、珠海、佛山、惠州、东莞、中山、江门、肇庆等9市新录用乡镇公务员在乡镇机关最低服务年限为5年；
2.汕头、韶关、河源、梅州、汕尾、阳江、湛江、茂名、清远、潮州、揭阳、云浮等12市新录用乡镇公务员在职位所在县（市、区）的乡镇机关最低服务年限为5年。",,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否限应届毕业生报考,其他要求,考区
广州市越秀区人民政府珠光街道办事处,6010064,综合行政执法队二级主办以下,60100642560001 ,从事基层一线综合行政执法工作、需夜间值班、应急处置工作,行政执法类职位,1,本科以上,学士以上,"宪法学与行政法学(A030103),诉讼法学(A030106),环境与资源保护法学(A030108),法律（法学）(A030112)",法学类(B0301),,否,,广州
广州市越秀区人民政府大东街道办事处,6010065,平安法治办公室一级科员,60100652559001 ,从事来信来访接待维稳工作；需24小时值班，现场处置突发事件等工作,综合管理类职位,1,本科,学士,,"公安学类(B0306),力学类(B0801),机械类(B0802),自动化类(B0808),计算机类(B0809)",,应届毕业生,,广州
广州市越秀区人民政府大东街道办事处,6010065,综合行政执法队一级行政执法员,60100652560001 ,从事基层一线综合行政执法工作；需24小时值班，现场处置突发事件等工作,行政执法类职位,2,本科,学士,,"力学类(B0801),机械类(B0802),自动化类(B0808),土木类(B0811),环境科学与工程类(B0826),消防工程(B083102)",,应届毕业生,,广州
广州市越秀区人民政府白云街道办事处,6010066,二级主任科员以下,60100662559001 ,从事基层党建宣传、公共事务管理、经济发展、应急安全等相关工作,综合管理类职位,2,本科以上,学士以上,"产业经济学(A020205),新闻学(A050301),安全科学与工程(A0837),安全工程硕士（专业硕士）(A084202)","数字经济(B020107),新闻学(B050301),网络与新媒体(B050306),安全工程(B083001),应急技术与管理(B083002)",,应届毕业生,,广州
广州市越秀区人民政府白云街道办事处,6010066,综合行政执法队二级主办以下,60100662560001 ,从事基层一线综合行政执法工作，需要经常夜班工作，户外作业工作,行政执法类职位,1,本科以上,学士以上,"法学(A0301),土木工程(A0814),测绘科学与技术(A0816),环境科学与工程(A0830),环境工程硕士（专业硕士）(A084201),测绘工程硕士（专业硕士）(A084204),土木工程硕士（专业硕士）(A084401)","法学类(B0301),土木工程(B081101),测绘工程(B081301),遥感科学与技术(B081302),环境科学与工程类(B0826)",,应届毕业生,,广州
广州市越秀区人民政府登峰街道办事处,6010067,综合行政执法队二级主办以下,60100672560001 ,从事基层一线综合行政执法工作,行政执法类职位,2,本科以上,学士以上,"电子科学与技术(A0809),信息与通信工程(A0810),计算机科学与技术(A0812),建筑学(A0813)","电子信息类(B0807),计算机类(B0809),建筑类(B0810)",,应届毕业生,,广州
广州市越秀区人民政府矿泉街道办事处,6010068,党政和人大办公室一级科员,60100682559001 ,从事综合协调等机关综合性工作,综合管理类职位,1,本科,学士,,"汉语言文学(B050101),汉语言(B050102),新闻传播学类(B0503),会计学(B120203),审计学(B120207),行政管理(B120402)",,否,,广州
广州市越秀区人民政府矿泉街道办事处,6010068,综合行政执法队一级行政执法员,60100682560001 ,从事基层一线综合行政执法工作,行政执法类职位,1,本科,学士,,"法学类(B0301),管理科学与工程类(B1201),土地资源管理(B120404),城市管理(B120405)",,否,,广州
广州市海珠区人民政府赤岗街道办事处,6010101,综合行政执法队一级行政执法员,60101012560001 ,从事基层一线执法工作，实行24小时值班制，需夜间外出执勤工作,行政执法类职位,1,本科,学士,,"公安学类(B0306),消防工程(B083102)",,否,,广州
广州市海珠区人民政府新港街道办事处,6010102,四级主任科员以下,60101022559001 ,从事街道综合管理工作,综合管理类职位,1,本科以上,学士、硕士,"马克思主义哲学(A010101),汉语言文字学(A050103),会计学(A120201)","哲学(B010101),汉语言文学(B050101),会计学(B120203)",,2025届高校毕业生,,广州
