广东省各级人民检察院2025年考试录用公务员职位表,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否限应届毕业生报考,其他要求,考区
广州市天河区人民检察院,4010005,五级检察官助理,40100052551003 ,从事辅助办案工作,检察院检察官助理职位,1,本科,学士,,"法学(B030101),知识产权(B030102)",,否,否,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市天河区人民检察院,4010005,一级科员,40100052552001 ,从事财会等相关工作,检察院司法行政职位,1,本科,学士,,"会计学(B120203),财务管理(B120204)",,否,否,,广州
广州市白云区人民检察院,4010006,检察业务部门五级检察官助理,40100062551001 ,从事辅助办案等工作,检察院检察官助理职位,1,本科以上,学士以上,"宪法学与行政法学(A030103),刑法学(A030104),民商法学（含：劳动法学、社会保障法学）(A030105),诉讼法学(A030106),经济法学(A030107)","法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市白云区人民检察院,4010006,检察业务部门五级检察官助理,40100062551002 ,从事辅助办案等工作,检察院检察官助理职位,1,本科以上,学士以上,"宪法学与行政法学(A030103),刑法学(A030104),民商法学（含：劳动法学、社会保障法学）(A030105),诉讼法学(A030106),经济法学(A030107)","法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市白云区人民检察院,4010006,检察业务部门五级检察官助理,40100062551003 ,从事辅助办案等工作,检察院检察官助理职位,1,本科以上,学士以上,"宪法学与行政法学(A030103),刑法学(A030104),民商法学（含：劳动法学、社会保障法学）(A030105),诉讼法学(A030106),经济法学(A030107)","法学(B030101),信用风险管理与法律防控(B030104),社区矫正(B030107)",,否,应届毕业生,"通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市白云区人民检察院,4010006,政治部一级科员,40100062552001 ,从事党建文字材料起草、综合行政工作,检察院司法行政职位,1,本科以上,学士以上,"政治学理论(A030201),汉语言文字学(A050103)","政治学与行政学(B030201),汉语言文学(B050101)",,否,否,中共党员,广州
广州市黄埔区人民检察院,4010007,检察业务部门五级检察官助理,40100072551001 ,从事辅助办案工作,检察院检察官助理职位,3,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市黄埔区人民检察院,4010007,检察业务部门五级检察官助理,40100072551002 ,从事辅助办案工作,检察院检察官助理职位,3,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市黄埔区人民检察院,4010007,办公室（司法警察大队）一级警员,40100072553001 ,从事司法警察工作,检察院司法警察职位,1,本科,学士,,"法学(B030101),司法警察学(B030106)",,否,2025届高校毕业生,男性,广州
广州市花都区人民检察院,4010008,五级检察官助理,40100082551001 ,从事检察业务辅助工作,检察院检察官助理职位,2,本科以上,学士以上,法学(A0301),法学类(B0301),,否,2025届高校毕业生,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市花都区人民检察院,4010008,五级检察官助理,40100082551002 ,从事检察业务辅助工作,检察院检察官助理职位,2,本科以上,学士以上,法学(A0301),法学类(B0301),,否,2025届高校毕业生,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市花都区人民检察院,4010008,一级警员,40100082553001 ,从事司法警察工作,检察院司法警察职位,1,本科以上,学士以上,法学(A0301),法学类(B0301),,否,应届毕业生,男性,广州
广州市番禺区人民检察院,4010009,检察业务部门五级检察官助理,40100092551001 ,从事刑事检察业务工作,检察院检察官助理职位,2,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市番禺区人民检察院,4010009,检察业务部门五级检察官助理,40100092551002 ,从事刑事检察业务工作,检察院检察官助理职位,2,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市番禺区人民检察院,4010009,检察业务部门五级检察官助理,40100092551003 ,从事民事行政检察或公益诉讼检察业务工作,检察院检察官助理职位,1,本科以上,学士以上,法学(A0301),法学(B030101),,否,否,"通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市南沙区人民检察院 （广东自由贸易区南沙片区人民检察院）,4010010,检察业务部门五级检察官助理,40100102551001 ,从事检察业务辅助工作,检察院检察官助理职位,1,本科以上,学士以上,"宪法学与行政法学(A030103),民商法学（含：劳动法学、社会保障法学）(A030105),经济法学(A030107),国际法学（含：国际公法、国际私法、国际经济法）(A030109)","法学(B030101),国际经贸规则(B030105)",,否,2025届高校毕业生,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市南沙区人民检察院 （广东自由贸易区南沙片区人民检察院）,4010010,检察业务部门五级检察官助理,40100102551002 ,从事检察业务辅助工作,检察院检察官助理职位,1,本科以上,学士以上,"宪法学与行政法学(A030103),民商法学（含：劳动法学、社会保障法学）(A030105),经济法学(A030107),国际法学（含：国际公法、国际私法、国际经济法）(A030109)","法学(B030101),国际经贸规则(B030105)",,否,2025届高校毕业生,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市从化区人民检察院,4010011,检察业务部门五级检察官助理,40100112551001 ,从事检察官助理工作,检察院检察官助理职位,2,本科以上,学士以上,"法学理论(A030101),法律史(A030102),宪法学与行政法学(A030103),刑法学(A030104),民商法学（含：劳动法学、社会保障法学）(A030105),诉讼法学(A030106),经济法学(A030107),环境与资源保护法学(A030108),国际法学（含：国际公法、国际私法、国际经济法）(A030109)","法学(B030101),知识产权(B030102),信用风险管理与法律防控(B030104),国际经贸规则(B030105)",,否,2025届高校毕业生,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市从化区人民检察院,4010011,检察业务部门五级检察官助理,40100112551002 ,从事检察官助理工作,检察院检察官助理职位,2,本科以上,学士以上,"法学理论(A030101),法律史(A030102),宪法学与行政法学(A030103),刑法学(A030104),民商法学（含：劳动法学、社会保障法学）(A030105),诉讼法学(A030106),经济法学(A030107),环境与资源保护法学(A030108),国际法学（含：国际公法、国际私法、国际经济法）(A030109)","法学(B030101),知识产权(B030102),信用风险管理与法律防控(B030104),国际经贸规则(B030105)",,否,2025届高校毕业生,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市从化区人民检察院,4010011,司法警察一级警员,40100112553001 ,从事司法警察工作,检察院司法警察职位,1,本科,学士,,"法学(B030101),侦查学(B030602),犯罪学(B030611)",,否,否,男性,广州
广州市增城区人民检察院,4010012,检察业务部门五级检察官助理,40100122551001 ,从事检察业务辅助工作,检察院检察官助理职位,2,本科以上,学士以上,法学(A0301),法学类(B0301),,否,应届毕业生,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市增城区人民检察院,4010012,检察业务部门五级检察官助理,40100122551002 ,从事检察业务辅助工作,检察院检察官助理职位,2,本科以上,学士以上,法学(A0301),法学类(B0301),,否,应届毕业生,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市增城区人民检察院,4010012,检察业务部门五级检察官助理,40100122551003 ,从事检察业务辅助工作,检察院检察官助理职位,1,本科以上,学士以上,法学(A0301),法学类(B0301),,否,应届毕业生,"通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市增城区人民检察院,4010012,司法警察部门二级警长以下,40100122553001 ,从事司法警察工作,检察院司法警察职位,1,本科以上,学士以上,法学(A0301),法学类(B0301),,否,应届毕业生,男性,广州
