附件1,,,,,,,,,,,,,,,
广东省县级以上机关2025年考试录用公务员职位表（不含公安、法检、监狱、戒毒系统）,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否限应届毕业生报考,其他要求,考区
广东省民政厅,1990049,机关一级主任科员以下,19900492541007 ,从事社会工作,综合管理类职位,1,本科以上,学士以上,"社会工作硕士（专业硕士）(A030305),心理学(A0402)",社会工作(B030302),,是,否,,广州
广东省司法厅,1990050,机关一级主任科员以下,19900502541001 ,从事行政立法、行政复议、行政应诉等工作,综合管理类职位,4,研究生,硕士以上,"法学理论(A030101),法律史(A030102),宪法学与行政法学(A030103),民商法学（含：劳动法学、社会保障法学）(A030105),诉讼法学(A030106),经济法学(A030107),国际法学（含：国际公法、国际私法、国际经济法）(A030109)",,,是,否,通过法律职业资格考试;国际法学（限：国际私法、国际经济法）（A030109）,广州
广东省司法厅,1990050,机关一级主任科员以下,19900502541002 ,从事涉外法治工作,综合管理类职位,1,本科以上,学士以上,"国际法学（含：国际公法、国际私法、国际经济法）(A030109),国际政治(A030205),国际关系(A030206)","国际经贸规则(B030105),国际政治(B030202),国际事务与国际关系(B030204)",,是,否,,广州
广东省司法厅,1990050,机关一级主任科员以下,19900502541003 ,从事政工、组织人事工作,综合管理类职位,1,本科以上,学士以上,企业管理（含：财务管理、市场营销、人力资源管理）(A120202),人力资源管理(B120206),,是,否,中共党员;企业管理（限：人力资源管理）（A120202）,广州
广东省司法厅,1990050,机关一级主任科员以下,19900502541004 ,从事队伍建设、综合文稿等工作,综合管理类职位,1,本科以上,学士以上,"语言学及应用语言学(A050102),汉语言文字学(A050103),新闻学(A050301)","汉语言文学(B050101),汉语言(B050102),新闻学(B050301)",,是,否,中共党员,广州
广东省司法厅,1990050,机关一级主任科员以下,19900502541005 ,从事党建、思想政治、综合文稿等工作,综合管理类职位,1,本科以上,学士以上,"马克思主义哲学(A010101),思想政治教育(A030505),语言学及应用语言学(A050102),汉语言文字学(A050103),新闻学(A050301)","哲学(B010101),思想政治教育(B030503),汉语言文学(B050101),汉语言(B050102),新闻学(B050301)",,是,否,中共党员,广州
广东省司法厅,1990050,机关一级主任科员以下,19900502541006 ,从事财会相关工作,综合管理类职位,1,本科以上,学士以上,"会计学(A120201),企业管理（含：财务管理、市场营销、人力资源管理）(A120202),会计硕士（专业硕士）(A120206)","会计学(B120203),财务管理(B120204)",,是,否,企业管理（限：财务管理）（A120202）,广州
广东省司法厅,1990050,省法律援助局一级主任科员以下,19900502541007 ,从事法律事务工作,综合管理类职位,4,本科,学士,,法学(B030101),,是,否,,广州
广东省财政厅,1990051,机关及直属行政单位一级主任科员以下,19900512541001 ,从事财政业务相关工作,综合管理类职位,2,研究生,硕士以上,"国民经济学(A020201),区域经济学(A020202),财政学（含∶税收学）(A020203),产业经济学(A020205),数量经济学(A020209),税务硕士（专业硕士）(A020214),会计学(A120201),会计硕士（专业硕士）(A120206)",,,是,否,中共党员,广州
广东省财政厅,1990051,投资审核中心一级主任科员以下,19900512541002 ,从事财政投资审核相关工作,综合管理类职位,1,研究生,硕士以上,"计算机科学与技术(A0812),软件工程(A0835),计算机技术硕士（专业硕士）(A084004),软件工程硕士（专业硕士）(A084005)",,,是,否,中共党员,广州
