广东省各级公安机关2025年考试录用公务员职位表,,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否开展心理素质测评,是否限应届毕业生报考,其他要求,考区
广州市公安局海珠区分局,2010003,基层派出所二级警长以下,20100032546011 ,信息通信类职位;从事公安信息化建设、数据分析、公安执法勤务等工作,公安机关执法勤务职位,5,本科以上,学士以上,"统计学（部分）(A020208),应用统计硕士（专业硕士）(A020213),数学(A0701),统计学(A0714),计算机科学与技术(A0812),软件工程(A0835),网络空间安全(A0839),计算机技术硕士（专业硕士）(A084004),软件工程硕士（专业硕士）(A084005),人工智能硕士（专业硕士）(A084010),大数据技术与工程硕士（专业硕士）(A084011),网络与信息安全硕士（专业硕士）(A084012)","经济统计学(B020102),数学类(B0701),统计学类(B0711),电子信息工程(B080701),通信工程(B080703),信息工程(B080706),电子信息科学与技术(B080714),人工智能(B080717),计算机科学与技术(B080901),软件工程(B080902),网络工程(B080903),信息安全(B080904),智能科学与技术(B080907),电子与计算机工程(B080909),数据科学与大数据技术(B080910),网络空间安全(B080911)",,否,是,2025届高校毕业生,男性,广州
广州市公安局海珠区分局,2010003,基层派出所二级警长以下,20100032546012 ,信息通信类职位;从事公安信息化建设、数据分析、公安执法勤务等工作,公安机关执法勤务职位,4,本科以上,学士以上,"统计学（部分）(A020208),应用统计硕士（专业硕士）(A020213),数学(A0701),统计学(A0714),计算机科学与技术(A0812),软件工程(A0835),网络空间安全(A0839),计算机技术硕士（专业硕士）(A084004),软件工程硕士（专业硕士）(A084005),人工智能硕士（专业硕士）(A084010),大数据技术与工程硕士（专业硕士）(A084011),网络与信息安全硕士（专业硕士）(A084012)","经济统计学(B020102),数学类(B0701),统计学类(B0711),电子信息工程(B080701),通信工程(B080703),信息工程(B080706),电子信息科学与技术(B080714),人工智能(B080717),计算机科学与技术(B080901),软件工程(B080902),网络工程(B080903),信息安全(B080904),智能科学与技术(B080907),电子与计算机工程(B080909),数据科学与大数据技术(B080910),网络空间安全(B080911)",,否,是,2025届高校毕业生,男性,广州
广州市公安局海珠区分局,2010003,基层派出所二级警长以下,20100032546013 ,信息通信类职位;从事公安信息化建设、数据分析、公安执法勤务等工作,公安机关执法勤务职位,5,本科以上,学士以上,"统计学（部分）(A020208),应用统计硕士（专业硕士）(A020213),数学(A0701),统计学(A0714),计算机科学与技术(A0812),软件工程(A0835),网络空间安全(A0839),计算机技术硕士（专业硕士）(A084004),软件工程硕士（专业硕士）(A084005),人工智能硕士（专业硕士）(A084010),大数据技术与工程硕士（专业硕士）(A084011),网络与信息安全硕士（专业硕士）(A084012)","经济统计学(B020102),数学类(B0701),统计学类(B0711),电子信息工程(B080701),通信工程(B080703),信息工程(B080706),电子信息科学与技术(B080714),人工智能(B080717),计算机科学与技术(B080901),软件工程(B080902),网络工程(B080903),信息安全(B080904),智能科学与技术(B080907),电子与计算机工程(B080909),数据科学与大数据技术(B080910),网络空间安全(B080911)",,否,是,否,男性,广州
广州市公安局海珠区分局,2010003,基层派出所二级警长以下,20100032546014 ,从事公安文秘、调研、材料综合、宣传、公安执法勤务等工作,公安机关执法勤务职位,1,本科以上,学士以上,图书情报与档案管理(A1205),图书情报与档案管理类(B1205),,否,是,否,,广州
广州市公安局海珠区分局,2010003,基层派出所二级警长以下,20100032546015 ,从事公安法制、公安执法勤务等工作,公安机关执法勤务职位,5,本科以上,学士以上,06法律类,06法律类,,否,是,2025届高校毕业生,男性,广州
广州市公安局海珠区分局,2010003,基层派出所二级警长以下,20100032546016 ,从事公安执法勤务等工作,公安机关执法勤务职位,1,大专以上,不限,不限,不限,不限,否,是,否,男性;面向“服务基层项目人员和退役大学生士兵”专门职位;录用后需在录用单位工作满5年,广州
广州市公安局荔湾区分局,2010004,指挥中心二级警长以下,20100042546001 ,信息通信类职位;从事公安信息化建设、数据分析、公安执法勤务等工作,公安机关执法勤务职位,2,本科以上,学士以上,"统计学（部分）(A020208),应用统计硕士（专业硕士）(A020213),数学(A0701),系统科学(A0711),统计学(A0714),信息与通信工程(A0810),计算机科学与技术(A0812),软件工程(A0835),网络空间安全(A0839),计算机技术硕士（专业硕士）(A084004),软件工程硕士（专业硕士）(A084005),人工智能硕士（专业硕士）(A084010),大数据技术与工程硕士（专业硕士）(A084011),网络与信息安全硕士（专业硕士）(A084012)","经济统计学(B020102),数学类(B0701),统计学类(B0711),电子信息工程(B080701),通信工程(B080703),信息工程(B080706),电子信息科学与技术(B080714),人工智能(B080717),计算机科学与技术(B080901),软件工程(B080902),网络工程(B080903),信息安全(B080904),智能科学与技术(B080907),电子与计算机工程(B080909),数据科学与大数据技术(B080910),网络空间安全(B080911)",,否,是,应届毕业生,男性,广州
广州市公安局荔湾区分局,2010004,法制大队二级警长以下,20100042546002 ,从事公安法制、公安执法勤务等工作,公安机关执法勤务职位,2,本科以上,学士以上,06法律类,06法律类,,否,是,否,男性;通过法律职业资格考试,广州
广州市公安局荔湾区分局,2010004,人口管理大队二级警长以下,20100042546003 ,外语翻译类职位;从事外语翻译及公安执法勤务等工作,公安机关执法勤务职位,2,本科以上,学士以上,"英语语言文学(A050201),俄语语言文学(A050202),阿拉伯语语言文学(A050208),英语笔译硕士（专业硕士）(A050212),英语口译硕士（专业硕士）(A050213),俄语笔译硕士（专业硕士）(A050214),俄语口译硕士（专业硕士）(A050215),阿拉伯语笔译硕士（专业硕士）(A050226),阿拉伯语口译硕士（专业硕士）(A050227)","英语(B050201),俄语(B050202),阿拉伯语(B050206)",,否,是,应届毕业生,男性,广州
广州市公安局荔湾区分局,2010004,刑事警察大队二级警长以下,20100042546004 ,信息通信类职位;从事公安信息化建设、数据分析、公安执法勤务等工作,公安机关执法勤务职位,2,本科以上,学士以上,"统计学（部分）(A020208),应用统计硕士（专业硕士）(A020213),数学(A0701),系统科学(A0711),统计学(A0714),信息与通信工程(A0810),计算机科学与技术(A0812),软件工程(A0835),网络空间安全(A0839),计算机技术硕士（专业硕士）(A084004),软件工程硕士（专业硕士）(A084005),人工智能硕士（专业硕士）(A084010),大数据技术与工程硕士（专业硕士）(A084011),网络与信息安全硕士（专业硕士）(A084012)","经济统计学(B020102),数学类(B0701),统计学类(B0711),电子信息工程(B080701),通信工程(B080703),信息工程(B080706),电子信息科学与技术(B080714),人工智能(B080717),计算机科学与技术(B080901),软件工程(B080902),网络工程(B080903),信息安全(B080904),智能科学与技术(B080907),电子与计算机工程(B080909),数据科学与大数据技术(B080910),网络空间安全(B080911)",,否,是,2025届高校毕业生,男性,广州
